,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
201,Финансовый аналитик,https://hh.ru/vacancy/44179168?query=Data%20science,Не указано,Ozon Офис и Коммерция,https://hh.ru/employer/2180?dpt=ozonru-2180-commerce,Москва,21 июня
202,Ведущий разработчик DWH (SQL),https://hh.ru/vacancy/45734853?query=Data%20science,Не указано,СИТИЛИНК,https://hh.ru/employer/3148,Москва,25 июня
203,Специалист по клиническим исследованиям-монитор / CRA (Ukraine),https://hh.ru/vacancy/45602385?query=Data%20science,Не указано,Kelly Services,https://hh.ru/employer/4925,Москва,21 июня
204,Стажёр Digital,https://hh.ru/vacancy/45581967?query=Data%20science,Не указано,Билайн,https://hh.ru/employer/4934,Москва,20 июня
205,Allocation specialist,https://hh.ru/vacancy/44822965?query=Data%20science,Не указано,LPP,https://hh.ru/employer/73886,Москва,21 июня
206,Senior Linux System Administrator,https://hh.ru/vacancy/45611347?query=Data%20science,Не указано,GE (General Electric Company),https://hh.ru/employer/228,Москва,21 июня
207,Senior C# Developer,https://hh.ru/vacancy/45589012?query=Data%20science,Не указано,Акуматика,https://hh.ru/employer/1055151,Москва,21 июня
208,Системный администратор Linux/DevOps,https://hh.ru/vacancy/45620274?query=Data%20science,Не указано,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,Москва,21 июня
209,Data Visualization Developer,https://hh.ru/vacancy/42293263?query=Data%20science,Не указано,ООО    Gett,https://hh.ru/employer/938231,Москва,18 июня
210,Senior Java Engineer (AWS),https://hh.ru/vacancy/44780310?query=Data%20science,"('300000', '', 'руб.')",ООО    ClearScale,https://hh.ru/employer/1574063,Москва,20 июня
211,Ведущий инженер web-разработки (Django),https://hh.ru/vacancy/41183362?query=Data%20science,Не указано,ООО    UMA.Tech,https://hh.ru/employer/2155808?dpt=2155808-2155808-uma,Москва,20 июня
212,Старший специалист по подбору персонала / Senior Recruitment Specialist,https://hh.ru/vacancy/44944667?query=Data%20science,Не указано,Abbott Laboratories,https://hh.ru/employer/13789,Москва,22 июня
213,Главный специалист (Data science specialist) Отдела разработки моделей кредитных рисков,https://hh.ru/vacancy/42270009?query=Data%20science,Не указано,АО    Россельхозбанк,https://hh.ru/employer/58320,Москва,18 июня
214,Аналитик данных,https://hh.ru/vacancy/45557809?query=Data%20science,Не указано,АО    ОКБ,https://hh.ru/employer/2129243,Москва,18 июня
215,Продюсер онлайн-курсов,https://hh.ru/vacancy/45375223?query=Data%20science,"('80000', '200000', 'руб.')",Proglib,https://hh.ru/employer/3879758,Москва,1 июля
216,Quantitative trader,https://hh.ru/vacancy/45423387?query=Data%20science,"('5000', '10000', 'USD')",LATOKEN,https://hh.ru/employer/2870783,Москва,18 июня
217,PR manager technology brand,https://hh.ru/vacancy/45595873?query=Data%20science,Не указано,СберМаркет,https://hh.ru/employer/1272486,Москва,21 июня
218,Аналитик SQL в Отдел противодействия мошенничеству,https://hh.ru/vacancy/45299866?query=Data%20science,Не указано,Банк Открытие,https://hh.ru/employer/23040,Москва,18 июня
219,Менеджер по продажам (удаленно),https://hh.ru/vacancy/45634473?query=Data%20science,"('40000', '170000', 'руб.')",SkillFactory,https://hh.ru/employer/2869446,Москва,22 июня
220,Backend разработчик,https://hh.ru/vacancy/45550045?query=Data%20science,"('150000', '200000', 'руб.')",ООО    Кэременторэйай,https://hh.ru/employer/3758875,Москва,18 июня
221,Системный аналитик (ML/AutoML),https://hh.ru/vacancy/45450100?query=Data%20science,Не указано,IBS,https://hh.ru/employer/139,Москва,15 июня
222,Senior Java Developer,https://hh.ru/vacancy/42223329?query=Data%20science,Не указано,ООО    Перфект Арт,https://hh.ru/employer/2618793,Москва,17 июня
223,Solution Architect,https://hh.ru/vacancy/42226505?query=Data%20science,Не указано,ООО    Перфект Арт,https://hh.ru/employer/2618793,Москва,17 июня
224,Python-разработчик в NeuroCore,https://hh.ru/vacancy/45463007?query=Data%20science,Не указано,Контур,https://hh.ru/employer/41862,Москва,15 июня
225,Manager/Web Analytics,https://hh.ru/vacancy/45507134?query=Data%20science,Не указано,Veeam Software,https://hh.ru/employer/15092,Москва,16 июня
226,Clinical Research Associate,https://hh.ru/vacancy/45500557?query=Data%20science,Не указано,ООО    MSD Pharmaceuticals,https://hh.ru/employer/681700,Москва,16 июня
227,Quality Assurance Manager,https://hh.ru/vacancy/45683926?query=Data%20science,Не указано,Сarl Zeiss,https://hh.ru/employer/10549,Москва,23 июня
228,Head of Analytics,https://hh.ru/vacancy/44613856?query=Data%20science,"('250000', '', 'руб.')",LATOKEN,https://hh.ru/employer/2870783,Москва,15 июня
229,Clinical Project Assistant (Abbvie),https://hh.ru/vacancy/45523257?query=Data%20science,Не указано,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва,17 июня
230,Senior HTML5 (React) Developer,https://hh.ru/vacancy/45556439?query=Data%20science,Не указано,АО    Citibank,https://hh.ru/employer/2383,Москва,18 июня
231,Team Lead/ Руководитель проектов (ИТ),https://hh.ru/vacancy/45522900?query=Data%20science,Не указано,ЕВРАЗ. ИТ-специалисты,https://hh.ru/employer/19989?dpt=19989-19989-IT,Москва,17 июня
232,Java Developer,https://hh.ru/vacancy/45517467?query=Data%20science,"('', '200000', 'руб.')",Profluent Group,https://hh.ru/employer/4871538,Москва,17 июня
233,Software Architect/Программный архитектор,https://hh.ru/vacancy/44844814?query=Data%20science,Не указано,ООО    ЦИФРА,https://hh.ru/employer/3191643,Москва,23 июня
234,Руководитель группы разработки сбора и анализа данных,https://hh.ru/vacancy/43782331?query=Data%20science,"('170000', '', 'руб.')",ООО    ВБЦ,https://hh.ru/employer/2005098,Москва,16 июня
235,PHP-разработчик удаленно,https://hh.ru/vacancy/45570842?query=Data%20science,"('120000', '150000', 'руб.')",strikt,https://hh.ru/employer/1334890,Москва,18 июня
236,Product lead/Product owner/ Stream lead (Управление жизненным циклом клиента и продукта),https://hh.ru/vacancy/45509825?query=Data%20science,Не указано,Сбер. Экспертам и руководителям,https://hh.ru/employer/3529?dpt=3529-3529-lead,Москва,16 июня
237,Product Manager,https://hh.ru/vacancy/45507623?query=Data%20science,Не указано,CoMagic.dev,https://hh.ru/employer/2575750,Москва,16 июня
238,Senior Backend Engineer,https://hh.ru/vacancy/40691549?query=Data%20science,Не указано,SberCloud,https://hh.ru/employer/3853446,Москва,16 июня
239,Java разработчик (м.Технопарк),https://hh.ru/vacancy/45519312?query=Data%20science,Не указано,Bell Integrator,https://hh.ru/employer/6189,Москва,17 июня
240,Менеджер по продукту (Продукт Ассортимент),https://hh.ru/vacancy/44650778?query=Data%20science,Не указано,М.Видео-Эльдорадо. ИТ,https://hh.ru/employer/2523?dpt=2523-2523-itsfera,Москва,15 июня
241,Менеджер проекта в Поиск,https://hh.ru/vacancy/45491899?query=Data%20science,Не указано,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,Москва,16 июня
242,Рекрутер на поиск авторов в Skillfactory,https://hh.ru/vacancy/45509718?query=Data%20science,Не указано,SkillFactory,https://hh.ru/employer/2869446,Москва,16 июня
243,"IT Director, Russia",https://hh.ru/vacancy/44940442?query=Data%20science,Не указано,JTI,https://hh.ru/employer/162,Москва,15 июня
244,Менеджер по работе с ключевыми клиентами (PREDICT),https://hh.ru/vacancy/45183211?query=Data%20science,Не указано,"Mail.ru Group, Другое",https://hh.ru/employer/15478?dpt=mailru-15478-other,Москва,16 июня
245,Юрист по договорной работе,https://hh.ru/vacancy/45564965?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,18 июня
246,Аналитик качества данных,https://hh.ru/vacancy/43505365?query=Data%20science,Не указано,М.Видео-Эльдорадо. ИТ,https://hh.ru/employer/2523?dpt=2523-2523-itsfera,Москва,11 июня
247,Android Developer,https://hh.ru/vacancy/45125709?query=Data%20science,Не указано,Devexperts,https://hh.ru/employer/52729,Москва,15 июня
248,Младший аналитик BI,https://hh.ru/vacancy/45414818?query=Data%20science,Не указано,Navicon,https://hh.ru/employer/3919,Москва,11 июня
249,Ведущий специалист НСИ,https://hh.ru/vacancy/45457291?query=Data%20science,Не указано,СИТИЛИНК,https://hh.ru/employer/3148,Москва,15 июня
250,Актуарий (тарифы),https://hh.ru/vacancy/44747873?query=Data%20science,Не указано,ООО    Зетта Страхование,https://hh.ru/employer/6488,Москва,15 июня
251,Начальник управления моделирования и BI отчетности,https://hh.ru/vacancy/45414881?query=Data%20science,"('280000', '500000', 'руб.')",C-Executives,https://hh.ru/employer/226806,Москва,11 июня
252,Специалист выездного взыскания,https://hh.ru/vacancy/45525951?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,17 июня
253,DWH engineer,https://hh.ru/vacancy/43720726?query=Data%20science,"('', '110000', 'руб.')",ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва,10 июня
254,Бизнес-аналитик/ Product Owner,https://hh.ru/vacancy/45411175?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,11 июня
255,Senior Frontend - разработчик (React),https://hh.ru/vacancy/45439820?query=Data%20science,"('150000', '200000', 'руб.')",Финансовые Информационные Системы,https://hh.ru/employer/50071,Москва,15 июня
256,Системный Python разработчик,https://hh.ru/vacancy/43505168?query=Data%20science,Не указано,М.Видео-Эльдорадо. ИТ,https://hh.ru/employer/2523?dpt=2523-2523-itsfera,Москва,11 июня
257,Senior Java Developer,https://hh.ru/vacancy/45193990?query=Data%20science,"('200000', '', 'руб.')",ИП    Грабовский Юрий Олегович,https://hh.ru/employer/4368496,Москва,30 июня
258,"Преподаватель на он-лайн курс ""Продуктовая аналитика""",https://hh.ru/vacancy/45371338?query=Data%20science,Не указано,ООО    Отус,https://hh.ru/employer/2970204,Москва,10 июня
259,Senior Product analyst,https://hh.ru/vacancy/44592342?query=Data%20science,Не указано,ООО    Gett,https://hh.ru/employer/938231,Москва,9 июня
260,Аналитик данных (системы видеонаблюдения г. Москвы),https://hh.ru/vacancy/45312284?query=Data%20science,Не указано,ГКУ Инфогород,https://hh.ru/employer/2427329,Москва,8 июня
261,C# (.NET Core) Developer,https://hh.ru/vacancy/40962309?query=Data%20science,Не указано,AliExpress Россия,https://hh.ru/employer/2592107,Москва,10 июня
262,Главный специалист по закупкам/ договорной работе (Big data),https://hh.ru/vacancy/43967285?query=Data%20science,Не указано,Банк ВТБ (ПАО),https://hh.ru/employer/4181,Москва,11 июня
263,Стажёр-аналитик в отдел развития продуктов,https://hh.ru/vacancy/45266551?query=Data%20science,Не указано,Эмбедика,https://hh.ru/employer/4598746,Москва,7 июня
264,Стажер Управления аудита ИТ [id 102981],https://hh.ru/vacancy/44836808?query=Data%20science,Не указано,Газпром нефть,https://hh.ru/employer/39305,Москва,8 июня
265,Менеджер по продвижению,https://hh.ru/vacancy/45414231?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,11 июня
266,Руководитель продукта (Ценообразование),https://hh.ru/vacancy/45351121?query=Data%20science,Не указано,М.Видео-Эльдорадо. ИТ,https://hh.ru/employer/2523?dpt=2523-2523-itsfera,Москва,9 июня
267,Java/Kotlin Software Engineer,https://hh.ru/vacancy/36607615?query=Data%20science,Не указано,AliExpress Россия,https://hh.ru/employer/2592107,Москва,8 июня
268,.NET Technical Lead/ Lead C#,https://hh.ru/vacancy/45304172?query=Data%20science,"('', '6000', 'USD')","Агентство 21 век, КЦ",https://hh.ru/employer/659638,Москва,8 июня
269,Владелец продукта в Продвинутую аналитику,https://hh.ru/vacancy/44536371?query=Data%20science,Не указано,Сибур,https://hh.ru/employer/3809?dpt=sbr-3809-sibb,Москва,7 июня
270,Senior Graphics SW Developer,https://hh.ru/vacancy/43574864?query=Data%20science,Не указано,Intel Corporation,https://hh.ru/employer/2716,Москва,8 июня
271,Системный аналитик Сбербанк Инвестор,https://hh.ru/vacancy/45237559?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,6 июня
272,Senior Developer (JAVA),https://hh.ru/vacancy/45279327?query=Data%20science,Не указано,IQVIA,https://hh.ru/employer/29813,Москва,7 июня
273,"Старший разработчик C#, Поиск / Поисковой рантайм",https://hh.ru/vacancy/43200117?query=Data%20science,Не указано,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,Москва,9 июня
274,Software Engineer C#/.NET Core (AntiFraud),https://hh.ru/vacancy/45265024?query=Data%20science,Не указано,AliExpress Россия,https://hh.ru/employer/2592107,Москва,7 июня
275,Go Developer,https://hh.ru/vacancy/39325088?query=Data%20science,Не указано,AliExpress Россия,https://hh.ru/employer/2592107,Москва,8 июня
276,Руководитель группы аналитиков по внедрению BI решений (системный интегратор),https://hh.ru/vacancy/42288112?query=Data%20science,Не указано,Polymedia,https://hh.ru/employer/3070,Москва,7 июня
277,Delivery Lead/ Руководитель направления,https://hh.ru/vacancy/45270948?query=Data%20science,Не указано,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,Москва,7 июня
278,Zone Business Manager Laboratory Diagnostics,https://hh.ru/vacancy/45274833?query=Data%20science,Не указано,ООО    Сименс Здравоохранение,https://hh.ru/employer/3457520,Москва,7 июня
279,Ведущий аналитик в группу управления эффективностью операционных процессов,https://hh.ru/vacancy/45252935?query=Data%20science,Не указано,Райффайзенбанк,https://hh.ru/employer/4023,Москва,7 июня
280,Комьюнити-менеджер,https://hh.ru/vacancy/45272705?query=Data%20science,Не указано,Центр онлайн-обучения Нетология-групп,https://hh.ru/employer/855219,Москва,7 июня
281,Software Engineer C#/.NET Core (OMS),https://hh.ru/vacancy/44234597?query=Data%20science,Не указано,AliExpress Россия,https://hh.ru/employer/2592107,Москва,3 июня
282,Parallel Runtimes Developer,https://hh.ru/vacancy/45193318?query=Data%20science,Не указано,Intel Corporation,https://hh.ru/employer/2716,Москва,3 июня
283,Java разработчик (Удалённо),https://hh.ru/vacancy/44365947?query=Data%20science,Не указано,Selecty,https://hh.ru/employer/2406247,Москва,3 июня
284,Visual-Inertial Algorithm Developer (CV),https://hh.ru/vacancy/44434351?query=Data%20science,Не указано,WayRay,https://hh.ru/employer/1093327,Москва,6 июня
285,Менеджер по маркетингу (B2B-продукты и сервисы PREDICT),https://hh.ru/vacancy/45213884?query=Data%20science,Не указано,"Mail.ru Group, Другое",https://hh.ru/employer/15478?dpt=mailru-15478-other,Москва,4 июня
286,Специалист по продажам и работе с клиентами,https://hh.ru/vacancy/44469495?query=Data%20science,Не указано,Ozon Офис и Коммерция,https://hh.ru/employer/2180?dpt=ozonru-2180-commerce,Москва,7 июня
287,Senior SMM-редактор,https://hh.ru/vacancy/45196766?query=Data%20science,Не указано,SkillFactory,https://hh.ru/employer/2869446,Москва,3 июня
288,Бизнес-аналитик,https://hh.ru/vacancy/45260736?query=Data%20science,Не указано,АО    Русатом Оверсиз,https://hh.ru/employer/2172634,Москва,7 июня
