,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
83,Data Engineer в команду Качества поиска,https://hh.ru/vacancy/45884171?query=Data%20science,Не указано,Авито,https://hh.ru/employer/84585,Москва,2 июля
84,AI разработчик,https://hh.ru/vacancy/45897718?query=Data%20science,Не указано,Университет искусственного интеллекта,https://hh.ru/employer/3754394,Москва,1 июля
85,Python developer,https://hh.ru/vacancy/45790381?query=Data%20science,Не указано,ООО    Константа,https://hh.ru/employer/2279941,Москва,2 июля
86,Руководитель направления разработки моделей оценки кредитных рисков / Data Scientist,https://hh.ru/vacancy/45940709?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,2 июля
87,Python developer,https://hh.ru/vacancy/45727407?query=Data%20science,Не указано,TransWare AG,https://hh.ru/employer/3826874,Москва,30 июня
88,Senior Analyst / Financial Planning and Analysis,https://hh.ru/vacancy/45261700?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
89,Разработчик (Python),https://hh.ru/vacancy/40551245?query=Data%20science,"('100000', '160000', 'руб.')",Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,https://hh.ru/employer/3094338,Москва,3 июля
90,Младший аналитик рисков,https://hh.ru/vacancy/45225906?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
91,DS Lead,https://hh.ru/vacancy/43835119?query=Data%20science,Не указано,ДомКлик,https://hh.ru/employer/2136954,Москва,1 июля
92,Python разработчик,https://hh.ru/vacancy/40547800?query=Data%20science,"('180000', '', 'руб.')",ООО    Константа,https://hh.ru/employer/2279941,Москва,2 июля
93,Senior Business Analyst,https://hh.ru/vacancy/45888462?query=Data%20science,Не указано,Viber,https://hh.ru/employer/5531866,Москва,1 июля
94,"Программист-разработчик (AI, Big Data)",https://hh.ru/vacancy/41840255?query=Data%20science,"('2083', '4416', 'USD')",Торговый Отдел Посольства Республики Корея,https://hh.ru/employer/23777,Москва,2 июля
95,Python Developer,https://hh.ru/vacancy/45927640?query=Data%20science,Не указано,ООО    Перфект Арт,https://hh.ru/employer/2618793,Москва,2 июля
96,Разработчик Python (Automoderation),https://hh.ru/vacancy/45768579?query=Data%20science,Не указано,Авито,https://hh.ru/employer/84585,Москва,2 июля
97,Data Engineer (Единый виртуальный ассистент сотрудника),https://hh.ru/vacancy/43991845?query=Data%20science,Не указано,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,Москва,1 июля
98,Технический аналитик данных,https://hh.ru/vacancy/42836779?query=Data%20science,Не указано,ФКУ ЦЭАИТ СП,https://hh.ru/employer/122218,Москва,2 июля
99,"Credit Risk analyst (удаленно, далее переезд во Вьетнам)",https://hh.ru/vacancy/45280130?query=Data%20science,Не указано,Finstar Financial Group,https://hh.ru/employer/180028,Москва,1 июля
100,DevOps (Azure Pipelines),https://hh.ru/vacancy/44297053?query=Data%20science,"('6000', '7000', 'USD')",ООО    ОнТаргет ЛАБС,https://hh.ru/employer/850334,Москва,2 июля
101,QA - engineer / WEB-developer,https://hh.ru/vacancy/42631793?query=Data%20science,"('80000', '', 'руб.')",ООО    Перфект Системс,https://hh.ru/employer/1713030,Москва,2 июля
102,Backend developer/Senior (autonomous vehicles software),https://hh.ru/vacancy/45591295?query=Data%20science,"('3000', '4500', 'USD')",DATASAKURA,https://hh.ru/employer/3481573,Москва,3 июля
103,Системный аналитик,https://hh.ru/vacancy/45826523?query=Data%20science,Не указано,ООО    НТехЛаб,https://hh.ru/employer/2328032,Москва,2 июля
